Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Typhus fever,"Typhus fever is a disease caused by Rickettsia bacteria. It is spread to humans by lice, fleas, and mites. Symptoms include high fever, chills, headache, rash, cough, and muscle aches. If not treated, typhus can lead to serious complications and even death."
Hypercortisolism,"Hypercoritsolism, also known as Cushing's syndrome, is a condition that occurs from exposure to high cortisol levels for a long time. Cortisol is a hormone that your adrenal glands produce. It helps your body respond to stress, maintain blood pressure and cardiovascular function, and regulate metabolism."
Chronic kidney disease,"Chronic kidney disease (CKD), also called chronic kidney failure, is a condition in which the kidneys are damaged and can't filter blood the way they should. This can cause wastes to build up in your body and lead to other health problems."
Hyperlipidemia,"Hyperlipidemia is a condition where there are high levels of lipids (fats) in the blood. These lipids include cholesterol and triglycerides. Having high levels of these fats can increase the risk of heart disease and stroke."
Hypopituitarism,"Hypopituitarism is a rare disorder in which your pituitary gland fails to produce one or more of its hormones or doesn't produce enough of them. The pituitary gland is a small, pea-sized gland located at the base of your brain. It produces hormones that affect many different parts of your body."
Sinusitis,"Chronic sinusitis is a common condition in which the cavities around nasal passages (sinuses) become inflamed and swollen for at least 12 weeks, despite treatment attempts. This inflammation interferes with drainage and causes mucus buildup. Chronic sinusitis can be caused by infections, growths in the sinuses (nasal polyps), or swelling of the lining of your sinuses."
Liver disease,"Chronic liver disease is a progressive deterioration of liver functions. It can be caused by various factors, including chronic alcohol abuse, viral hepatitis (B and C), non-alcoholic fatty liver disease, and autoimmune diseases. Over time, chronic liver disease can lead to cirrhosis and liver failure."
obstructive pulmonary disease,"obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. Symptoms include breathing difficulty, cough, mucus (sputum) production and wheezing. It's typically caused by long-term exposure to irritating gases or particulate matter, most often from cigarette smoke."
dermatitis,"dermatitis is a long-lasting inflammation of the skin that can cause redness, itching, and scaling. It can be caused by various factors, including allergies, irritants, and genetic predisposition. Common types of chronic dermatitis include atopic dermatitis (eczema) and contact dermatitis."
fatigue syndrome,"fatigue syndrome (CFS) is a complex disorder characterized by extreme fatigue that can't be explained by any underlying medical condition. The fatigue worsens with physical or mental activity but doesn't improve with rest. Other symptoms may include sleep problems, memory issues, and muscle pain."
pancreatitis,"pancreatitis is a long-lasting inflammation of the pancreas that alters its normal structure and functions. It can lead to permanent damage, affecting the pancreas's ability to produce digestive enzymes and hormones like insulin. Common causes include chronic alcohol use, genetic mutations, and autoimmune conditions."
migraine,"migraine is a neurological condition characterized by headaches occurring on 15 or more days per month for more than three months, with at least eight of those headaches having migraine features. Symptoms can include throbbing pain, sensitivity to light and sound, nausea, and visual disturbances."
depression,"depression, also known as persistent depressive disorder (dysthymia), is a long-term form of depression characterized by a low mood that lasts for at least two years. Symptoms may include feelings of sadness, hopelessness, low energy, and difficulty concentrating."
anxiety,"anxiety is a persistent and excessive worry about various aspects of life, such as health, work, or social interactions. It can interfere with daily activities and may be accompanied by physical symptoms like restlessness, fatigue, and muscle tension. anxiety can be a symptom of anxiety disorders such as generalized anxiety disorder (GAD)."
bronchitis,"bronchitis is a long-term inflammation of the bronchi, the large and medium-sized airways in the lungs. It is characterized by a persistent cough that produces mucus (sputum) for at least three months in two consecutive years. bronchitis is a type of chronic obstructive pulmonary disease (COPD) and is often caused by smoking."
otitis media,"otitis media is a persistent inflammation of the middle ear that can lead to recurrent ear infections, hearing loss, and damage to the ear structures. It may result from untreated acute otitis media or other underlying conditions. Symptoms can include ear pain, discharge, and a feeling of fullness in the ear."
constipation,"constipation is a condition characterized by infrequent bowel movements or difficulty passing stools that lasts for several weeks or longer. It can be caused by various factors, including a low-fiber diet, dehydration, lack of physical activity, certain medications, and underlying medical conditions."
back pain,"back pain is persistent pain in the back that lasts for more than 12 weeks. It can result from various causes, including muscle or ligament strain, herniated discs, arthritis, or other underlying conditions. back pain can significantly impact daily activities and quality of life."
fatigue,"fatigue is a persistent feeling of tiredness or exhaustion that doesn't improve with rest. It can be caused by various factors, including medical conditions, stress, poor sleep, and lifestyle choices. fatigue can interfere with daily activities and overall quality of life."
insomnia,"Chronic insomnia is a sleep disorder characterized by difficulty falling asleep, staying asleep, or waking up too early, occurring at least three times a week for three months or longer. It can lead to daytime fatigue, irritability, and difficulty concentrating."
urticaria,"urticaria, also known as chronic hives, is a condition characterized by the recurrent appearance of itchy, raised welts on the skin that last for six weeks or longer. The exact cause is often unknown, but it can be triggered by allergies, infections, stress, or autoimmune disorders."
laryngitis,"laryngitis is a long-term inflammation of the larynx (voice box) that can cause hoarseness, loss of voice, and a persistent cough. It can result from prolonged exposure to irritants such as smoke, allergens, or acid reflux."
tonsillitis,"tonsillitis is a persistent inflammation of the tonsils, which are two lymph nodes located at the back of the throat. It can cause symptoms such as sore throat, bad breath, swollen lymph nodes, and difficulty swallowing. tonsillitis may require medical treatment or surgical removal of the tonsils (tonsillectomy)."
conjunctivitis,"conjunctivitis is a long-lasting inflammation of the conjunctiva, the thin, transparent layer that covers the white part of the eye and the inside of the eyelids. It can cause redness, itching, discharge, and discomfort in the eyes. conjunctivitis may be caused by allergies, infections, or irritants."
sinus infection,"sinus infection, also known as chronic sinusitis, is a prolonged inflammation of the sinuses that lasts for more than 12 weeks. It can cause symptoms such as nasal congestion, facial pain or pressure, headache, and a reduced sense of smell. sinus infections may require medical treatment, including antibiotics or surgery."    
pharyngitis,"pharyngitis is a long-term inflammation of the pharynx (throat) that can cause a persistent sore throat, dryness, and irritation. It may result from repeated infections, allergies, or exposure to irritants such as smoke or pollution." 
tonsil stones,"tonsil stones, also known as tonsilloliths, are small, calcified formations that develop in the crevices of the tonsils. They are composed of debris such as food particles, dead cells, and bacteria. tonsil stones can cause bad breath, sore throat, and difficulty swallowing."  
ear infections,"ear infections, also known as chronic otitis media, are persistent infections of the middle ear that can lead to hearing loss, ear pain, and discharge. They may result from untreated acute ear infections or other underlying conditions."    
skin infections,"skin infections are long-lasting infections of the skin that can be caused by bacteria, fungi, or viruses. They may result in symptoms such as redness, swelling, pain, and discharge. skin infections may require medical treatment, including antibiotics or antifungal medications."
eye infections,"eye infections are persistent infections of the eye that can be caused by bacteria, viruses, or fungi. They may result in symptoms such as redness, pain, discharge, and vision changes. eye infections may require medical treatment, including antibiotics or antiviral medications." 
mouth ulcers,"mouth ulcers are persistent sores or lesions that develop in the mouth and last for several weeks or longer. They can be caused by various factors, including trauma, infections, nutritional deficiencies, or underlying medical conditions."  
gum disease,"gum disease, also known as periodontitis, is a long-term inflammation of the gums that can lead to tooth loss if left untreated. It is caused by the buildup of plaque and tartar on the teeth, which can lead to infection and damage to the supporting structures of the teeth."  
respiratory infections,"respiratory infections are long-lasting infections of the respiratory tract that can be caused by bacteria, viruses, or fungi. They may result in symptoms such as cough, shortness of breath, chest pain, and fatigue. respiratory infections may require medical treatment, including antibiotics or antiviral medications." 
digestive infections,"digestive infections are persistent infections of the digestive tract that can be caused by bacteria, viruses, or parasites. They may result in symptoms such as diarrhea, abdominal pain, nausea, and weight loss. digestive infections may require medical treatment, including antibiotics or antiparasitic medications."
urinary tract infections,"urinary tract infections (UTIs) are recurrent infections of the urinary system, including the bladder, kidneys, and urethra. They can cause symptoms such as frequent urination, pain or burning during urination, and cloudy or strong-smelling urine. UTIs may require long-term antibiotic treatment to prevent recurrence."
pelvic inflammatory disease,"pelvic inflammatory disease (PID) is a long-term infection of the female reproductive organs, including the uterus, fallopian tubes, and ovaries. It can cause symptoms such as pelvic pain, abnormal vaginal discharge, and pain during intercourse. PID may lead to complications such as infertility and ectopic pregnancy if left untreated."
prostatitis,"prostatitis is a long-lasting inflammation of the prostate gland that can cause symptoms such as pelvic pain, difficulty urinating, and sexual dysfunction. It may be caused by bacterial infections or other factors, and treatment may include antibiotics, anti-inflammatory medications, and lifestyle changes."
vaginitis,"vaginitis is a persistent inflammation of the vagina that can cause symptoms such as itching, burning, and abnormal discharge. It may be caused by infections, allergies, or irritants, and treatment may include antifungal or antibacterial medications, as well as lifestyle changes."
pelvic pain,"pelvic pain is a long-term pain in the lower abdomen or pelvis that can affect both men and women. It may be caused by various factors, including infections, inflammation, or underlying medical conditions. Treatment may involve pain management strategies, physical therapy, and addressing any underlying issues."   
fatigue syndrome,"Chronic fatigue syndrome (CFS) is a complex disorder characterized by extreme fatigue that lasts for six months or longer and is not improved by rest. It can also cause a range of other symptoms, including sleep disturbances, cognitive difficulties, and muscle pain. The exact cause of CFS is unknown, and treatment focuses on symptom management."   
appendicitis,"Appendicitis is an inflammation of the appendix, a small, finger-shaped pouch attached to the large intestine. It causes pain in the lower right abdomen and can lead to rupture if untreated, requiring emergency surgery."
anemia,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body’s tissues, often causing fatigue, weakness, and shortness of breath."
meningitis,"Meningitis is an inflammation of the protective membranes (meninges) covering the brain and spinal cord, usually caused by infection with bacteria or viruses."
encephalitis,"Encephalitis is inflammation of the brain tissue, most often caused by a viral infection, leading to symptoms such as headache, fever, confusion, and seizures."
sepsis,"Sepsis is a life-threatening condition that arises when the body's response to infection causes tissue damage and organ failure."
stroke,"A stroke occurs when blood flow to a part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients, causing brain cells to die."
epilepsy,"Epilepsy is a neurological disorder marked by recurrent seizures, which are sudden bursts of electrical activity in the brain that can affect behavior, movement, or consciousness."
cataract,"Cataract is a clouding of the normally clear lens of the eye, leading to blurred vision, glare, and difficulty seeing at night."
glaucoma,"Glaucoma is a group of eye conditions that damage the optic nerve, often due to abnormally high pressure in the eye, and can lead to blindness if untreated."
menopause,"Menopause marks the end of a woman’s menstrual cycles, typically occurring in middle age. It’s diagnosed after 12 months without a menstrual period and can cause hot flashes and mood changes."
fibromyalgia,"Fibromyalgia is a chronic condition characterized by widespread musculoskeletal pain, fatigue, sleep problems, and cognitive difficulties."
gout,"Gout is a type of arthritis caused by the accumulation of uric acid crystals in the joints, leading to sudden, severe episodes of pain, redness, and swelling."
eczema,"Eczema, also known as atopic dermatitis, is a chronic inflammatory skin condition that causes itchy, red, and dry patches of skin."
lupus,"Lupus is an autoimmune disease in which the body’s immune system attacks its own tissues, causing inflammation, pain, and damage to organs."
celiac disease,"Celiac disease is an autoimmune disorder where eating gluten leads to damage in the small intestine, resulting in digestive problems and nutrient deficiencies."
Crohn's disease,"Crohn’s disease is a type of inflammatory bowel disease that causes chronic inflammation of the digestive tract, leading to abdominal pain, diarrhea, and weight loss."
ulcerative colitis,"Ulcerative colitis is a chronic inflammatory bowel disease that causes ulcers and inflammation in the lining of the colon and rectum."
anorexia nervosa,"Anorexia nervosa is an eating disorder characterized by abnormally low body weight, intense fear of gaining weight, and a distorted body image."
bulimia nervosa,"Bulimia nervosa is an eating disorder marked by episodes of binge eating followed by purging, such as vomiting or excessive exercise, to prevent weight gain."
bipolar disorder,"Bipolar disorder is a mental health condition characterized by extreme mood swings that include emotional highs (mania) and lows (depression)."
schizophrenia,"Schizophrenia is a severe mental disorder that affects how a person thinks, feels, and behaves, leading to hallucinations, delusions, and disorganized speech."
autism spectrum disorder,"Autism spectrum disorder (ASD) is a developmental disorder affecting communication and behavior, with varying degrees of severity and symptoms."
attention deficit hyperactivity disorder,"ADHD is a neurodevelopmental disorder characterized by inattention, hyperactivity, and impulsivity that interfere with daily functioning or development."
Parkinson's disease,"Parkinson's disease is a progressive neurological disorder that affects movement, causing tremors, stiffness, and difficulty with balance and coordination."
Alzheimer's disease,"Alzheimer’s disease is a progressive neurodegenerative disorder that causes memory loss, cognitive decline, and changes in behavior."
multiple sclerosis,"Multiple sclerosis (MS) is a disease in which the immune system attacks the protective sheath covering nerve fibers, causing communication problems between the brain and the rest of the body."
amyotrophic lateral sclerosis,"ALS, also known as Lou Gehrig’s disease, is a progressive neurodegenerative disorder that affects nerve cells in the brain and spinal cord, leading to loss of muscle control."
rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disorder that causes chronic inflammation of the joints, leading to pain, swelling, and potential joint deformity."
osteoporosis,"Osteoporosis is a condition in which bones become weak and brittle due to loss of bone density, increasing the risk of fractures."
endometriosis,"Endometriosis is a condition in which tissue similar to the lining inside the uterus grows outside it, causing pain, heavy periods, and fertility problems."
polycystic ovary syndrome,"Polycystic ovary syndrome (PCOS) is a hormonal disorder common among women of reproductive age, characterized by irregular periods, excess androgen levels, and polycystic ovaries."
erectile dysfunction,"Erectile dysfunction (ED) is the inability to get or keep an erection firm enough for sexual intercourse, often due to physical or psychological causes."
infertility,"Infertility is the inability to conceive after one year of regular, unprotected intercourse, affecting both men and women due to various causes."
prostate cancer,"Prostate cancer is a cancer that occurs in the prostate gland in men, often growing slowly and initially confined to the prostate."
breast cancer,"Breast cancer is a malignant tumor that develops from breast cells, most commonly in the ducts or lobules, and can spread to other body parts if untreated."
lung cancer,"Lung cancer is a type of cancer that begins in the lungs, often associated with smoking, and can cause coughing, chest pain, and weight loss."
colon cancer,"Colon cancer, or colorectal cancer, begins in the large intestine or rectum and may cause changes in bowel habits, blood in the stool, and fatigue."
skin cancer,"Skin cancer develops in the skin’s cells, often due to overexposure to ultraviolet radiation from the sun or tanning beds."
leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, leading to the overproduction of abnormal white blood cells."
lymphoma,"Lymphoma is a cancer of the lymphatic system, which is part of the body’s germ-fighting network, and includes Hodgkin’s and non-Hodgkin’s lymphoma."
pancreatic cancer,"Pancreatic cancer begins in the tissues of the pancreas and is often diagnosed at an advanced stage, with symptoms like jaundice and weight loss."
gastritis,"Gastritis is an inflammation of the stomach lining that can cause nausea, vomiting, and abdominal pain, often due to infection or excessive alcohol use."
appendix cancer,"Appendix cancer is a rare cancer that starts in the cells lining the appendix, often found incidentally during surgery for appendicitis."
gallstones,"Gallstones are hardened deposits of digestive fluid that form in the gallbladder and can cause severe pain, nausea, and vomiting."
kidney stones,"Kidney stones are hard deposits made of minerals and salts that form inside the kidneys and can cause severe pain when passing through the urinary tract."
nephritis,"Nephritis is inflammation of the kidneys that can impair their ability to filter waste from the blood, often caused by infections or autoimmune diseases."
anaphylaxis,"Anaphylaxis is a severe, potentially life-threatening allergic reaction that occurs rapidly after exposure to an allergen."
dehydration,"Dehydration occurs when the body loses more fluids than it takes in, causing weakness, dizziness, dry mouth, and reduced urination."
heat stroke,"Heat stroke is a serious condition caused by the body overheating, usually due to prolonged exposure to high temperatures or physical exertion in heat."
frostbite,"Frostbite is the freezing of skin and underlying tissues, usually affecting fingers, toes, ears, and nose, leading to numbness and tissue damage."
hypothermia,"Hypothermia occurs when the body loses heat faster than it can produce it, causing dangerously low body temperature and potentially life-threatening complications."
insulin resistance,"Insulin resistance occurs when cells in the body don't respond well to insulin, leading to elevated blood glucose levels and potential development of type 2 diabetes."
metabolic syndrome,"Metabolic syndrome is a cluster of conditions — increased blood pressure, high blood sugar, excess body fat around the waist, and abnormal cholesterol levels — that occur together, increasing the risk of heart disease and diabetes."
obesity,"Obesity is a complex disease involving excessive body fat accumulation that increases the risk of heart disease, diabetes, and other health problems."
malnutrition,"Malnutrition is a condition that occurs when the body doesn’t get enough nutrients, leading to weight loss, fatigue, and weakened immunity."
rickets,"Rickets is a skeletal disorder caused by a lack of vitamin D, calcium, or phosphate, leading to soft and weak bones in children."
scurvy,"Scurvy is a disease resulting from a deficiency of vitamin C, causing weakness, anemia, gum disease, and skin problems."
pellagra,"Pellagra is caused by a deficiency of niacin (vitamin B3), characterized by dermatitis, diarrhea, and dementia."
goiter,"Goiter is an abnormal enlargement of the thyroid gland, often due to iodine deficiency or thyroid disorders."
vitamin D deficiency,"Vitamin D deficiency leads to weak bones and muscles, fatigue, and an increased risk of fractures and infections."
iron deficiency,"Iron deficiency occurs when the body lacks enough iron to produce hemoglobin, leading to anemia and symptoms like fatigue and pale skin."
pneumothorax,"Pneumothorax is a condition in which air leaks into the space between the lung and chest wall, causing the lung to collapse partially or completely. It can result from injury or occur spontaneously."
pulmonary embolism,"Pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs, most often caused by blood clots that travel from the legs or other parts of the body."
pleurisy,"Pleurisy is an inflammation of the membranes (pleura) surrounding the lungs and lining the chest cavity, causing sharp chest pain that worsens during breathing."
sarcoidosis,"Sarcoidosis is an inflammatory disease that causes the growth of tiny collections of inflammatory cells (granulomas) in any part of the body, most often the lungs and lymph nodes."
sleep apnea,"Sleep apnea is a sleep disorder in which breathing repeatedly stops and starts, often leading to snoring, fatigue, and cardiovascular problems."
chronic bronchitis,"Chronic bronchitis is a long-term inflammation of the bronchi in the lungs, leading to a persistent cough with mucus production."
emphysema,"Emphysema is a chronic lung condition that causes shortness of breath due to damage to the air sacs (alveoli) in the lungs."
asbestosis,"Asbestosis is a chronic lung disease caused by inhaling asbestos fibers, leading to lung tissue scarring and shortness of breath."
silicosis,"Silicosis is a lung disease caused by inhaling silica dust, leading to inflammation and scarring in the lungs."
lung fibrosis,"Lung fibrosis, or pulmonary fibrosis, is a condition in which lung tissue becomes scarred and stiff, making it difficult to breathe."
heart failure,"Heart failure occurs when the heart cannot pump enough blood to meet the body’s needs, leading to fatigue, shortness of breath, and fluid buildup."
cardiomyopathy,"Cardiomyopathy refers to diseases of the heart muscle that make it harder for the heart to pump blood and can lead to heart failure."
pericarditis,"Pericarditis is inflammation of the pericardium, the thin sac surrounding the heart, often causing sharp chest pain."
arrhythmia,"Arrhythmia is an irregular heartbeat — too fast, too slow, or erratic — caused by abnormal electrical activity in the heart."
angina,"Angina is chest pain or discomfort that occurs when the heart muscle doesn’t get enough oxygen-rich blood, often a symptom of coronary artery disease."
aortic aneurysm,"An aortic aneurysm is an abnormal bulge in the wall of the aorta, the main blood vessel carrying blood from the heart to the rest of the body."
deep vein thrombosis,"Deep vein thrombosis (DVT) is a blood clot that forms in a deep vein, usually in the legs, which can lead to serious complications if it travels to the lungs."
varicocele,"Varicocele is an enlargement of veins within the scrotum, similar to varicose veins, which can cause pain and affect fertility."
hemophilia,"Hemophilia is a genetic disorder in which the blood doesn’t clot normally due to a lack of clotting factors, leading to excessive bleeding."
thrombocytopenia,"Thrombocytopenia is a condition characterized by abnormally low platelet counts, leading to increased bleeding and bruising."
sickle cell anemia,"Sickle cell anemia is an inherited blood disorder in which red blood cells assume an abnormal crescent shape, leading to anemia, pain, and organ damage."
thalassemia,"Thalassemia is an inherited blood disorder that causes the body to produce fewer healthy red blood cells and less hemoglobin than normal."
leukopenia,"Leukopenia is a decrease in the number of white blood cells, reducing the body’s ability to fight infections."
aplastic anemia,"Aplastic anemia is a rare condition where the bone marrow fails to produce enough blood cells, leading to fatigue, infections, and bleeding."
mononucleosis,"Mononucleosis, often called mono, is an infectious disease caused by the Epstein-Barr virus, leading to fatigue, fever, and swollen lymph nodes."
measles,"Measles is a highly contagious viral disease that causes fever, cough, runny nose, inflamed eyes, and a characteristic red rash."
mumps,"Mumps is a contagious viral infection that affects the salivary glands, causing swelling and pain near the jaw."
rubella,"Rubella, also known as German measles, is a contagious viral infection best known by its distinctive red rash and mild fever."
tetanus,"Tetanus is a serious bacterial infection caused by Clostridium tetani that affects the nervous system, leading to painful muscle stiffness and spasms."
rabies,"Rabies is a deadly viral infection spread to people through the bite or scratch of an infected animal, affecting the central nervous system."
leprosy,"Leprosy, also called Hansen’s disease, is a chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes."
plague,"Plague is a serious bacterial infection caused by Yersinia pestis, transmitted by fleas and rodents, and can be fatal if untreated."
cholera,"Cholera is an acute diarrheal disease caused by infection of the intestine with Vibrio cholerae bacteria, leading to severe dehydration."
anthrax,"Anthrax is a rare but serious infectious disease caused by Bacillus anthracis bacteria, which can infect skin, lungs, or intestines."
tularemia,"Tularemia is a rare infectious disease caused by the bacterium Francisella tularensis, transmitted by insects or contact with infected animals."
brucellosis,"Brucellosis is an infectious disease caused by Brucella bacteria, usually transmitted from animals to humans, causing fever, joint pain, and fatigue."
leptospirosis,"Leptospirosis is a bacterial infection transmitted through contact with water or soil contaminated by infected animal urine."
