"Disease","Precaution 1","Precaution 2","Precaution 3","Precaution 4"
"AIDS (HIV)","Avoid open cuts & exposures","Use PPE when appropriate","Consult HIV specialist","Adhere to follow-up and antiretroviral therapy"
"Paralysis (post brain hemorrhage)","Physical therapy and massage","Nutrient-rich diet","Regular rehabilitative exercise","Consult neurologist"
"Typhoid","Eat easily digestible high-calorie vegetables","Antibiotic therapy per culture/sensitivity","Consult doctor","Follow medication course"
"Hepatitis B","Consult nearest hospital/hepatology","Vaccination for contacts","Eat healthy","Follow prescribed medication"
"Fungal infection","Bath twice daily","Use antiseptic/neem in bathing water","Keep infected area dry","Use clean clothes and topical antifungal"
"Hepatitis C","Consult specialist","Discuss antiviral medications","Eat healthy","Vaccinate contacts when appropriate"
"Migraine","Practice meditation and relaxation","Reduce stress and triggers","Use protective glasses (polarized) in sun","Consult doctor for preventive meds"
"Bronchial Asthma","Wear loose clothing","Practice controlled breathing","Avoid known triggers","Seek medical help in exacerbation"
"Alcoholic hepatitis","Stop alcohol intake immediately","Consult doctor","Medical management as advised","Regular follow-up"
"Jaundice","Drink plenty of water","Use milk thistle if advised by practitioner","Eat fruits and high-fiber foods","Consult doctor for tests/medication"
"Hepatitis E","Stop alcohol, rest","Consult doctor for management","Supportive medication","Hydrate and monitor liver function"
"Dengue","Stay hydrated; replace fluids","Avoid fatty/spicy meals","Keep mosquitoes away and avoid further bites","Seek medical care for warning signs"
"Hepatitis D","Consult hepatologist","Adhere to medication","Eat healthy","Regular follow-up"
"Heart attack","Call emergency services immediately","Chew or take aspirin if advised","Keep calm and rest","Seek urgent cardiac care"
"Pneumonia","Consult doctor for antibiotics/management","Rest and hydrate","Follow prescribed medication","Arrange follow-up chest evaluation"
"Arthritis","Regular low-impact exercise","Alternate hot/cold therapy","Consider acupuncture/physio","Massage and joint care"
"Gastroenteritis","Stop solid foods briefly; small sips of water","Rest and rehydrate (ORS)","Gradually reintroduce bland diet","Seek medical care if severe"
"Tuberculosis","Cover mouth when coughing","Consult TB clinic/doctor","Adhere to full course of medication","Rest and nutrition support"
"Anemia (iron-deficiency)","Increase iron-rich foods","Take supplements as prescribed","Consume with vitamin C to enhance absorption","Avoid tea/coffee near meals"
"Chickenpox (Shingles)","Start antiviral if within window","Use cool compresses to reduce itch","Avoid scratching; keep area clean","Consult for pain control"
"Conjunctivitis","Avoid touching/rubbing eyes","Use prescribed eye drops","Maintain strict hygiene and separate towels","Seek ophthalmology if vision affected"
"Otitis media (ear infection)","Avoid water entry into ear","Use prescribed pain relief/antibiotics","Warm compress for pain","Consult ENT if recurrent"
"Strep throat","Seek medical evaluation","Take full course of antibiotics if prescribed","Gargle with warm saline","Rest voice and hydrate"
"Influenza","Antiviral treatment if within window","Rest and hydration","Avoid contact with vulnerable people","Consider annual vaccination"
"Sinusitis","Steam inhalation/vapour","Nasal saline rinses","Consult for antibiotics if bacterial","Avoid allergens/triggers"
"COVID-19","Isolate per local guidance","Monitor symptoms and oxygenation","Seek testing and medical care if severe","Follow local public health guidance"
"Bronchitis","Avoid smoking and irritants","Rest and hydrate","Use a humidifier or vapour","Consult for antibiotics if bacterial"
"Whooping Cough (Pertussis)","Seek antibiotic treatment","Isolate infant/elderly contacts","Vaccinate contacts if eligible","Supportive breathing care"
"Common Cold with Asthmatic Component","Monitor breathing","Use inhaler as prescribed","Avoid triggers","Seek urgent care for breathing difficulty"
"Urinary stone (nephrolithiasis)","Drink plenty of water","Pain control and medical follow-up","Strain urine to catch stones if advised","Consult urology if severe"
"Kidney infection (pyelonephritis)","Seek antibiotics promptly","Hydrate well","Pain control and follow-up tests","Hospitalize if vomiting/dehydration"
"Cholecystitis","Seek surgical/gastroenterology review","Nil by mouth if severe; IV fluids","Pain management","Plan for cholecystectomy if recurrent"
"Chronic kidney disease","Control blood pressure and glucose","Low-salt diet and fluid management","Avoid nephrotoxic meds","Regular nephrology follow-up"
"Urinary incontinence","Pelvic floor exercises (Kegels)","Avoid bladder irritants","Scheduled voiding","Consult urology"
"Benign prostatic hyperplasia (BPH)","Discuss meds with urologist","Avoid fluids before bedtime","Pelvic exercises and monitoring","Consider surgical options if severe"
"Erectile dysfunction","Lifestyle measures (exercise, quit smoking)","Manage comorbidities (diabetes, HTN)","Avoid unprescribed meds","See urologist"
"Polycystic ovary syndrome (PCOS)","Maintain healthy weight","Balanced diet with low refined carbs","Exercise regularly","Seek endocrine/gynecology care"
"Pelvic inflammatory disease","Seek prompt antibiotics","Avoid sexual activity until treated","Partner treatment as advised","Follow-up to prevent complications"
"Osteoporosis","Calcium and vitamin D intake","Weight-bearing exercise","Avoid smoking/excess alcohol","Bone density monitoring and meds if indicated"
"Rickets","Ensure vitamin D and calcium","Sunlight exposure safely","Dietary supplementation","Pediatric follow-up"
"Appendicitis","Seek emergency surgical evaluation","Do not eat or drink if suspected","Avoid pain meds that mask exam without advice","Prompt surgery usually required"
"Gout","Avoid high-purine foods and alcohol","Hydrate well","Medication to lower uric acid as prescribed","Seek specialist if recurrent"
"Sepsis","Seek urgent medical care","Early antibiotics and fluids in hospital","Monitor organ function","Follow up with specialist"
"Cellulitis","Keep area clean and elevated","Seek antibiotics promptly","Monitor for spreading/red streaks","Consult doctor for wound care"
"Pressure ulcers (bedsores)","Frequent repositioning","Keep skin clean and dry","Use pressure-relieving surfaces","Nutrition and wound care"
"Eczema (Atopic dermatitis)","Moisturize regularly","Avoid known irritants and allergens","Use topical treatments as prescribed","Cool compresses for itch"
"Contact dermatitis","Avoid contact with trigger substance","Wash area with mild soap/water","Topical steroid or antihistamine as advised","Protective clothing/gloves"
"Scabies","Treat whole household with permethrin or as instructed","Wash bedding and clothing hot","Avoid close contact until treated","Itch control with antihistamines"
"Ringworm (tinea)","Topical antifungal application","Keep area dry and clean","Avoid sharing personal items","Complete full course of treatment"
"Hand-foot-and-mouth disease","Hydration and soft foods","Avoid aspirin in children","Isolation until non-infectious","Topical care for mouth ulcers"
"Measles","Supportive care and hydration","Isolation to prevent spread","Vitamin A in children if recommended","Vaccination for prevention"
"Mumps","Rest and analgesia","Apply cold packs for swelling","Isolate to prevent spread","Hydration and soft foods"
"Rubella","Isolate to avoid congenital infection risk","Supportive symptomatic care","Notify public health if pregnant exposures","Vaccination for prevention"
"Whooping cough (infant)","Immediate medical assessment","Antibiotics for patient and close contacts","Monitor infant breathing","Hospitalize if respiratory compromise"
"Poliomyelitis","Seek urgent medical care","Supportive and respiratory support if needed","Vaccination for prevention","Rehabilitation if affected"
"Rabies (exposure)","Immediate wound washing with soap and water","Seek post-exposure prophylaxis","Consult infectious diseases/public health","Tetanus update as appropriate"
"Leprosy (Hansen's disease)","Early diagnosis and multidrug therapy","Avoid stigma; ensure medication adherence","Monitor for neuropathy","Rehabilitation and skin care"
"Malnutrition (undernutrition)","Nutrient-dense meals and supplements","Treat underlying disease","Regular growth monitoring (children)","Refer to nutrition services"
"Obesity","Gradual weight loss through diet and activity","Behavior change counselling","Avoid fad diets","Consider medical/surgical options if indicated"
"Hyperlipidemia","Healthy diet and reduced saturated fats","Exercise regularly","Medication adherence if prescribed","Regular lipid monitoring"
"Deep vein thrombosis (DVT)","Seek urgent medical assessment","Anticoagulant therapy as prescribed","Avoid long immobilization","Compression stockings as advised"
"Pulmonary embolism","Immediate emergency care","Anticoagulation or intervention","Oxygen support if needed","Long-term follow-up for anticoagulation"
"Anaphylaxis","Immediate epinephrine injection if available","Call emergency services","Position patient and maintain airway","Follow-up with allergy specialist"
"Severe allergic reaction (urticaria)","Antihistamines and topical measures","Identify and avoid triggers","Seek medical attention if systemic signs","Carry anaphylaxis plan if at risk"
"Stroke (ischemic)","Call emergency services immediately","Do not give food/drink; keep airway open","Time-sensitive thrombolysis depending on window","Rehabilitation and secondary prevention"
"Hemorrhagic stroke","Emergency neurosurgical assessment","Control blood pressure and bleeding source","Supportive care in ICU","Rehabilitation afterwards"
"Transient ischemic attack (TIA)","Seek urgent evaluation","Begin secondary prevention (antiplatelet/anticoagulation) as advised","Manage vascular risk factors","Follow-up with neurologist"
"Parkinson's disease","Medication adherence as prescribed","Regular physiotherapy and exercise","Manage fall risk at home","Neurology follow-up for therapy adjustments"
"Alzheimer's disease","Cognitive stimulation and routines","Safety measures at home","Support caregivers and social services","Neurology/geriatrics follow-up"
"Epilepsy","Take antiseizure meds as prescribed","Avoid driving until cleared","Identify and avoid triggers","Safety measures during seizures"
"Multiple sclerosis","Neurology follow-up and disease-modifying therapy","Manage relapses with steroids when indicated","Physio for mobility","Monitor for fatigue and infections"
"Meningitis","Seek urgent medical assessment","Immediate antibiotics/antivirals as indicated","Isolation for certain infectious causes","Supportive hospital care"
"Encephalitis","Hospital assessment and supportive care","Antivirals if indicated","Monitor neurological status","Rehabilitation after acute illness"
"Concussion","Cognitive and physical rest initially","Gradual return to activities under guidance","Avoid repeat head injury","Seek medical review for persistent symptoms"
"Peripheral neuropathy","Manage underlying cause (diabetes, B12)","Pain control and neuropathic meds","Foot care and footwear","Neurology follow-up"
"Bell's palsy","Start steroids within window if indicated","Protect the eye with drops/patch at night","Facial exercises/physio","Monitor recovery"
"Guillain-Barré syndrome","Seek hospital care for respiratory monitoring","IVIG or plasmapheresis if indicated","Physiotherapy and supportive care","Monitor autonomic function"
"Amyotrophic lateral sclerosis (ALS)","Neurology review and multidisciplinary care","Respiratory monitoring","Nutritional support","Speech and occupational therapy"
"Peripheral arterial disease","Quit smoking and exercise","Control BP and lipids","Antiplatelet therapy as prescribed","Foot care and vascular surgery review if needed"
"Coronary artery disease","Manage risk factors (BP, lipids, smoking)","Adhere to cardiac meds","Cardiac rehabilitation and exercise","Seek emergency care for chest pain"
"Congestive heart failure","Salt restriction and fluid management","Medication adherence (ACEi, beta-blockers, diuretics)","Daily weight monitoring","Regular cardiology follow-up"
"Arrhythmia (AFib)","Seek cardiology assessment","Anticoagulation if indicated","Rate/rhythm control meds as prescribed","Monitor for palpitations/syncope"
"Endocarditis","Seek urgent medical treatment","IV antibiotics and possible surgery","Dental hygiene and prophylaxis when indicated","Follow-up with cardiology"
"Pericarditis","Analgesia/anti-inflammatory meds as advised","Rest and avoid strenuous activity","Seek cardiology review for recurrent or severe cases","Monitor for tamponade signs"
"Aortic aneurysm","Blood pressure control","Smoking cessation","Regular imaging surveillance","Surgical referral if large or symptomatic"
"Rheumatic heart disease","Treat streptococcal infections promptly","Secondary prophylaxis (penicillin) if indicated","Cardiac follow-up and monitoring","Surgery if severe valve disease"
"Endocrine adrenal insufficiency","Take replacement steroids as prescribed","Medical alert identification","Stress dose steroids during illness","Endocrinology follow-up"
"Cushing's syndrome","Endocrinology assessment and treatment of cause","Monitor blood pressure/glucose","Gradual tapering of steroids if iatrogenic","Surgical/endocrine therapy as needed"
"Addison's disease","Adrenal replacement therapy adherence","Emergency hydrocortisone for crisis","Medical alert card/bracelet","Regular follow-up"
"Hyperparathyroidism","Monitor calcium and bone health","Hydration to reduce stones","Surgical referral if symptomatic","Endocrine follow-up"
"Pancreatitis (acute)","Nil by mouth if severe; IV fluids","Pain control and monitoring","Avoid alcohol and offending drugs","Gradual refeeding when stable"
"Chronic pancreatitis","Avoid alcohol and smoking","Pancreatic enzyme replacement if needed","Low-fat diet and nutrition support","Pain management and specialist follow-up"
"Peptic ulcer with bleeding","Seek emergency care","Stop NSAIDs and smoking","Endoscopic evaluation and therapy","Treat H. pylori if present"
"GERD with alarm features","Avoid trigger foods and late meals","Seek evaluation for alarm symptoms (weight loss, bleeding)","Proton pump inhibitor under guidance","Endoscopy if indicated"
"Diverticulitis","Clear liquids then gradual diet advancement","Antibiotics if bacterial per doctor","Avoid straining; high-fiber diet after recovery","Surgical review for recurrent disease"
"Inflammatory bowel disease (IBD)","Medication adherence (5-ASA, steroids, biologics)","Monitor nutrition and bone health","Avoid NSAIDs if possible","Gastroenterology follow-up"
"Irritable bowel syndrome (IBS)","Dietary modification (low FODMAP if helpful)","Stress management","Regular bowel habit routines","Symptom-directed meds"
"Constipation","Increase fiber and fluids","Regular exercise","Avoid overuse of laxatives; use when advised","Bowel routine and medical review if chronic"
"Diarrhea (acute)","Oral rehydration (ORS)","Avoid anti-motility agents in certain infections without advice","Consume bland diet when refeeding","Seek care for blood/high fever/dehydration"
"Gallstones","Manage pain and observe if asymptomatic","Low-fat diet if symptomatic","Surgical consult for cholecystectomy if recurrent","Hydration"
"Peptic ulcer disease (recurrent)","Test and treat H. pylori if present","Avoid NSAIDs and smoking","PPI therapy as prescribed","Periodic follow-up"
"Pancreatic cancer (supportive)","Oncology referral for staging","Nutritional support and pain control","Consider palliative care early","Discuss treatment options"
"Breast cancer","Regular screening mammography as advised","Prompt evaluation of lumps","Oncology referral for treatment","Genetic counselling if family history"
"Prostate cancer","PSA and digital rectal exam per guidelines","Urology/oncology referral","Discuss treatment options with specialist","Regular monitoring"
"Lung cancer","Stop smoking","Oncology referral and staging","Consider imaging/biopsy for diagnosis","Discuss multimodal treatment"
"Colorectal cancer","Screening colonoscopy as recommended","Prompt evaluation of red-flag symptoms","Oncology and surgical referral","Diet and nutrition support"
"Cervical cancer","Regular Pap/HPV screening","HPV vaccination for prevention","Gynecology oncology referral if abnormal","Follow-up after treatment"
"Ovarian cancer","Seek gynecologic evaluation for persistent symptoms","Imaging and tumor markers as indicated","Oncology referral","Consider genetic counselling"
"Testicular cancer","Self-examination and early evaluation for lumps","Urology/oncology referral","Prompt imaging (ultrasound) and tumor markers","Fertility counselling if needed"
"Skin cancer (melanoma)","Protect skin from sun; use sunscreen","Monitor moles and seek early dermatology review","Avoid tanning beds","Prompt excision of suspicious lesions"
"Basal cell carcinoma","Dermatology/excision as advised","Sun protection","Monitor for recurrence","Follow-up skin checks"
"Squamous cell carcinoma (skin)","Prompt dermatology evaluation","Excision per guidelines","Avoid UV exposure","Follow-up"
"Leukemia","Hematology/oncology referral","Start indicated chemotherapy/therapy","Infection precautions due to neutropenia","Supportive care and follow-up"
"Lymphoma","Oncology referral for staging and treatment","Chemotherapy/radiation as advised","Infection precautions","Monitor for B symptoms"
"Multiple myeloma","Hematology referral","Bone health management (bisphosphonates)","Monitor renal function and anemia","Treatment per specialist"
"Anaphylaxis to food","Avoid trigger foods strictly","Carry epinephrine auto-injector","Nutritionist/allergy follow-up","Label-checking and dining precautions"
"Food poisoning","Hydration/ORS","Rest and bland diet","Seek care for bloody diarrhea, high fever, or dehydration","Report outbreaks to public health"
"Lead poisoning","Remove exposure source","Chelation therapy if indicated","Monitor hemoglobin and neurodevelopment in children","Public health reporting"
"Carbon monoxide poisoning","Move to fresh air immediately","Seek emergency medical care and oxygen therapy","Install CO detectors at home","Avoid enclosed combustion sources"
"Heatstroke","Move to cool area and remove excess clothing","Cool with ice packs/fans/immersion","Seek emergency medical care","Hydrate carefully"
"Hypothermia","Gradual rewarming and dry clothing","Warm beverages if conscious","Avoid rough handling","Seek medical care for severe cases"
"Dehydration","Oral rehydration fluids","Avoid excessive exertion in heat","Monitor urine output","Seek IV fluids if severe"
"Rickets (vitamin D deficiency)","Ensure vitamin D and calcium supplements","Safe sun exposure","Dietary changes","Pediatric follow-up"
"Vitamin B12 deficiency","Dietary intake and supplements","Check for pernicious anemia","Neurological monitoring","Follow-up labs and replacement therapy"
"Scurvy (vitamin C deficiency)","Increase vitamin C-rich foods","Supplements as recommended","Address underlying causes of poor diet","Monitor for healing improvement"
"Hyperemesis gravidarum","Hydration and antiemetic therapy","Small frequent meals and electrolyte replacement","Obstetric review","Monitor weight and labs"
"Pre-eclampsia","Regular blood pressure monitoring","Seek obstetric care for severe symptoms","Hospitalization if severe","Delivery planning as definitive treatment"
"Ectopic pregnancy","Seek emergency care","Do not delay—risk of rupture","Treatment with methotrexate or surgery","Follow-up hCG monitoring"
"Miscarriage","Seek obstetric care and counseling","Observe bleeding and pain","Discuss management options (expectant/medical/surgical)","Emotional support and follow-up"
"Placenta previa","Avoid vaginal exams if bleeding","Hospital obstetric care","Plan for C-section if persistent bleeding","Monitor fetal wellbeing"
"Gestational diabetes","Blood glucose monitoring","Dietary changes and exercise","Medication if needed (insulin)","Obstetric follow-up and postpartum testing"
"Stillbirth","Immediate obstetric care and bereavement support","Investigations for cause","Counseling and follow-up care","Plan future pregnancies with specialist if needed"
"Postpartum hemorrhage","Immediate emergency care","Uterotonic medications and interventions","Blood transfusion if needed","Monitor in hospital"
"Preterm labor","Seek obstetric care immediately","Tocolytics and steroids as indicated","Monitor fetal and maternal condition","Plan for neonatal support"
"Infant respiratory distress syndrome","Neonatal intensive care and respiratory support","Surfactant therapy if indicated","Thermal and nutritional support","Follow-up for lung development"
"Neonatal sepsis","Immediate antibiotics and NICU care","Monitor vitals and organ function","Infection control measures","Follow-up for development"
"Congenital heart disease (infant)","Pediatric cardiology evaluation","Monitor feeding and growth","Surgical/interventional planning if needed","Family counseling"
"Childhood asthma","Avoid triggers and allergen control","Prescribed inhaler technique","Action plan for exacerbations","Regular pediatric follow-up"
"Pediatric febrile illness","Assess for source and hydration","Antipyretics as advised","Seek urgent care for lethargy, poor feeding, or seizures","Keep fever-chart"
"Autism spectrum disorder","Early developmental assessment and intervention","Structured routines and therapies","Family support and education","School-based services and follow-up"
"Attention deficit hyperactivity disorder (ADHD)","Behavioral strategies and structure","Medication if recommended","School coordination and support","Parent training and monitoring"
"Down syndrome","Early intervention and screening for comorbidities","Cardiac and thyroid screening","Developmental therapies","Family support services"
"Rheumatoid arthritis","Early rheumatology referral and DMARDs","Joint protection and physiotherapy","Regular monitoring for side effects","Vaccination and infection precautions"
"Systemic lupus erythematosus (SLE)","Follow rheumatology for systemic therapy","Sun protection and skin care","Monitor organ involvement and labs","Medication adherence"
"Sjögren's syndrome","Eye and mouth lubricants","Hydration and saliva substitutes","Regular dental care","Rheumatology follow-up"
"Ankylosing spondylitis","Regular exercise and posture care","NSAIDs and biologics as advised","Physiotherapy","Monitor for spinal complications"
"Psoriatic arthritis","Rheumatology management and DMARDs","Skin care for psoriasis","Exercise and joint protection","Monitor inflammation"
"Reactive arthritis","Treat underlying infection if present","NSAIDs for pain","Physio for joint mobility","Rheumatology follow-up if chronic"
"Fibromyalgia","Exercise and graded activity","Sleep hygiene and stress management","Medications for symptom control as guided","Multidisciplinary care"
"Chronic fatigue syndrome","Pacing and energy management","Sleep and stress optimization","Graded exercise therapy as tolerated","Supportive care"
"Chronic obstructive pulmonary disease (COPD)","Smoking cessation","Vaccinations (flu, pneumococcal)","Pulmonary rehab and inhalers","Avoid pollutants and infections"
"Emphysema","Quit smoking","Pulmonary rehabilitation","Inhaled bronchodilators as prescribed","Vaccination and oxygen if needed"
"Bronchiectasis","Airway clearance techniques","Antibiotics for exacerbations","Vaccinate and avoid smoking","Regular chest physiotherapy"
"Cystic fibrosis","Specialist multidisciplinary care","Airway clearance and inhaled therapies","Pancreatic enzyme replacement","Nutritional support and vaccinations"
"Interstitial lung disease","Pulmonology referral and imaging","Avoid occupational exposures","Medications (steroids/antifibrotics) as indicated","Pulmonary rehab"
"Occupational asthma","Avoid workplace trigger exposure","Use PPE and improve ventilation","Relocation if needed","Medical management"
"Silicosis","Avoid further silica exposure","Pulmonary evaluation","Supportive respiratory care","Occupational health reporting"
"Asbestosis","Avoid further asbestos exposure","Pulmonary monitoring and cancer screening","Symptom management","Occupational health follow-up"
"Osteomyelitis","Seek prolonged antibiotics as prescribed","Surgical debridement if needed","Immobilize and elevate limb","Follow-up imaging and labs"
"Fracture (bone)","Immobilize and seek orthopedic care","Pain control and imaging","Surgical fixation if indicated","Rehabilitation after healing"
"Dislocation","Do not attempt self-reduction without guidance","Immobilize and seek urgent reduction","Pain control and imaging","Rehabilitation afterward"
"Sprain/strain","Rest, ice, compression, elevation (RICE)","Avoid weight-bearing initially if indicated","Gradual physiotherapy","Analgesia as needed"
"Tendonitis","Rest and avoid repetitive activity","Ice and NSAIDs as advised","Physical therapy and stretching","Consider injections if chronic"
"Carpal tunnel syndrome","Wrist splinting","Avoid repetitive strain; ergonomic changes","Steroid injections if needed","Surgical review if severe"
"Rotator cuff injury","Rest and physiotherapy","Avoid overhead activities","Analgesia and possible steroid injection","Surgical referral if tear significant"
"Avascular necrosis","Limit weight-bearing on affected joint","Orthopedic evaluation","Pain management and joint-preserving measures","Surgical options if advanced"
"Septic arthritis","Seek urgent joint drainage and antibiotics","Hospital admission often required","Avoid weight-bearing","Rheumatology/orthopedic follow-up"
"Immunodeficiency (primary)","Immunology referral and testing","Vaccination per specialist guidance","Infection prevention measures","Consider immunoglobulin therapy if indicated"
"Secondary immunodeficiency (e.g., from meds)","Review and adjust immunosuppressive drugs if possible","Infection precautions","Vaccination advice","Specialist follow-up"
"Occupational dermatitis","Identify and avoid workplace irritant","Use protective clothing/gloves","Topical therapy as advised","Occupational health involvement"
"Nail fungal infection (onychomycosis)","Topical or oral antifungal as prescribed","Keep nails trimmed and dry","Avoid sharing nail tools","Consider podiatry referral"
"Toenail trauma/infection","Keep area clean and dry","Soak and trim if recommended","Antibiotics if bacterial infection","Podiatry follow-up for recurrent problems"
"Plantar fasciitis","Rest and stretching exercises","Supportive footwear and orthotics","Night splints if recommended","Physical therapy"
"Ingrown toenail","Soak and gentle nail care","Avoid tight shoes","See podiatry for partial nail removal if severe","Keep area clean to avoid infection"
"Bell's palsy (repeated)","Protect eye and follow facial exercises","Steroids/antivirals when indicated","Monitor recovery","Neurology follow-up for atypical cases"
"Peripheral vascular disease","Smoking cessation and exercise","Manage diabetes and BP","Antiplatelet therapy as indicated","Vascular surgery referral for severe disease"
"Heat exhaustion","Move to cool environment","Hydrate with electrolytes","Rest and monitor vitals","Seek medical care if not improving"
"Cold injury (frostbite)","Rapid rewarming in warm water","Do not rub frozen tissues","Pain control and wound care","Seek medical care for severe injury"
"Poisoning (general)","Remove source and seek emergency care","Call poison control center","Do not induce vomiting unless advised","Bring container/label to hospital"
"Tick-borne diseases (Lyme)","Remove tick promptly and clean area","Monitor for rash/fever; seek early antibiotics if indicated","Use tick repellents and protective clothing","Check and treat pets and surroundings"
"Leptospirosis","Avoid contaminated water","Protective clothing around animals","Seek early antibiotics if febrile after exposure","Public health notification if outbreak"
"Schistosomiasis","Avoid freshwater in endemic areas","Seek antiparasitic treatment if infected","Public health measures for control","Wear protective footwear where applicable"
"Hookworm infection","Deworming as prescribed","Wear shoes and improve sanitation","Treat household contacts if needed","Nutrition support for anemia"
"Ascaris (roundworm)","Deworming medication as prescribed","Improve sanitation and handwashing","Wash fruits/vegetables thoroughly","Public health measures"
"Giardiasis","Treat with antiprotozoals as prescribed","Practice good hygiene and water safety","Avoid untreated water/streams","Follow-up if diarrhea persists"
"Amebiasis","Seek antiparasitic treatment","Avoid contaminated food/water","Hygiene and sanitation improvements","Test and treat household contacts if needed"
"Trichomoniasis","Seek STI testing and treatment","Treat sexual partners simultaneously","Use condoms to prevent reinfection","Avoid alcohol-risk behaviors"
"Bacterial vaginosis","Seek appropriate antibiotic treatment","Avoid douching and irritants","Use condoms and reduce multiple partners","Follow-up if recurrent"
"Yeast infection (vaginal candidiasis)","Antifungal therapy as prescribed","Avoid tight synthetic underwear","Maintain good perineal hygiene","Treat partners only if symptomatic"
"Prostatitis","Seek urology evaluation and antibiotics if bacterial","Hydration","Avoid irritants like alcohol/spicy food","Follow-up for chronic symptoms"
"Epididymitis","Antibiotics if bacterial","Scrotal support and analgesia","Avoid sexual activity until treated","Follow-up for resolution"
"Hydrocele","Observe if small and asymptomatic","Surgical consult if large or painful","Supportive care","Pediatric urology review for congenital cases"
"Testicular torsion","Seek immediate emergency care","Avoid delays—surgical detorsion required","Do not attempt home maneuvers","Fertility counsel after salvage if affected"
"Pharyngitis (viral)","Rest and hydration","Saltwater gargles","Avoid antibiotics unless bacterial","Symptom control with analgesics"
"Oral thrush","Antifungal mouthwash or lozenges","Maintain oral hygiene","Address underlying causes (diabetes, steroids)","Dentist or doctor follow-up"
"Dental abscess","Seek dental care and antibiotics","Avoid hot/cold foods if painful","Pain management and drainage if indicated","Follow-up for root canal/extraction"
"Periodontal disease","Good oral hygiene and flossing","Regular dental cleanings","Quit smoking","Dental care and possible periodontal therapy"
"TMJ dysfunction","Soft diet and jaw rest","Avoid wide yawning and hard foods","Jaw exercises and heat/cold packs","Dental/ENT referral if persistent"
"Concussion (recurrent)","Strict rest then gradual return","Avoid contact sports until cleared","Neuro follow-up for persistent symptoms","Cognitive rehabilitation as needed"
"Vertigo (Meniere's disease)","Low-sodium diet and avoid triggers","Vestibular rehab exercises","Diuretics if prescribed","ENT follow-up and hearing monitoring"
"Motion sickness","Avoid heavy meals before travel","Use antiemetic or acupressure bands","Look at horizon and reduce head movement","Stay hydrated"
"Insomnia","Sleep hygiene and consistent schedule","Avoid stimulants near bedtime","Relaxation techniques and CBT-i","Seek medical review for underlying causes"
"Obstructive sleep apnea","Weight loss and sleep position changes","Avoid alcohol and sedatives before sleep","CPAP therapy as prescribed","Sleep study and follow-up"
"Narcolepsy","Sleep hygiene and scheduled naps","Medication as prescribed","Safety measures for driving","Sleep specialist follow-up"
